HHTYPE,ADULT,WORKER,CHILD,INCOME,AGE_INDEX
552,2,1,2.0,3.0,3.0
553,3,1,2.0,3.0,3.0
554,4,1,2.0,3.0,3.0
555,2,2,2.0,3.0,3.0
556,3,2,2.0,3.0,3.0
557,4,2,2.0,3.0,3.0
558,3,3,2.0,3.0,3.0
559,4,3,2.0,3.0,3.0
560,1,0,3.0,3.0,3.0
561,2,0,3.0,3.0,3.0
562,3,0,3.0,3.0,3.0
563,4,0,3.0,3.0,3.0
564,1,1,3.0,3.0,3.0
565,2,1,3.0,3.0,3.0
566,3,1,3.0,3.0,3.0
567,4,1,3.0,3.0,3.0
568,2,2,3.0,3.0,3.0
569,3,2,3.0,3.0,3.0
570,4,2,3.0,3.0,3.0
571,3,3,3.0,3.0,3.0
572,4,3,3.0,3.0,3.0
573,1,0,0.0,4.0,3.0
574,2,0,0.0,4.0,3.0
575,3,0,0.0,4.0,3.0
576,4,0,0.0,4.0,3.0
577,1,1,0.0,4.0,3.0
578,2,1,0.0,4.0,3.0
579,3,1,0.0,4.0,3.0
580,4,1,0.0,4.0,3.0
581,2,2,0.0,4.0,3.0
582,3,2,0.0,4.0,3.0
583,4,2,0.0,4.0,3.0
584,3,3,0.0,4.0,3.0
585,4,3,0.0,4.0,3.0
586,1,0,1.0,4.0,3.0
587,2,0,1.0,4.0,3.0
588,3,0,1.0,4.0,3.0
589,4,0,1.0,4.0,3.0
590,1,1,1.0,4.0,3.0
591,2,1,1.0,4.0,3.0
592,3,1,1.0,4.0,3.0
593,4,1,1.0,4.0,3.0
594,2,2,1.0,4.0,3.0
595,3,2,1.0,4.0,3.0
596,4,2,1.0,4.0,3.0
597,3,3,1.0,4.0,3.0
598,4,3,1.0,4.0,3.0
599,1,0,2.0,4.0,3.0
600,2,0,2.0,4.0,3.0
601,3,0,2.0,4.0,3.0
602,4,0,2.0,4.0,3.0
603,1,1,2.0,4.0,3.0
604,2,1,2.0,4.0,3.0
605,3,1,2.0,4.0,3.0
606,4,1,2.0,4.0,3.0
607,2,2,2.0,4.0,3.0
608,3,2,2.0,4.0,3.0
609,4,2,2.0,4.0,3.0
610,3,3,2.0,4.0,3.0
611,4,3,2.0,4.0,3.0
612,1,0,3.0,4.0,3.0
613,2,0,3.0,4.0,3.0
614,3,0,3.0,4.0,3.0
615,4,0,3.0,4.0,3.0
616,1,1,3.0,4.0,3.0
617,2,1,3.0,4.0,3.0
618,3,1,3.0,4.0,3.0
619,4,1,3.0,4.0,3.0
620,2,2,3.0,4.0,3.0
621,3,2,3.0,4.0,3.0
622,4,2,3.0,4.0,3.0
623,3,3,3.0,4.0,3.0
624,4,3,3.0,4.0,3.0
