t matrices
d mo11
a matrix=mo11 sqmi 0 zcentroid sqmi
1446 all:4.02389
1447 all:3.99446
1448 all:4.020977
1449 all:1.01171
1450 all:0.249542
1451 all:0.247096
1452 all:0.251538
1453 all:0.24954
1454 all:0.251977
1455 all:0.252212
1456 all:0.252288
1457 all:0.252056
1458 all:1.008223
1459 all:4.012341
1460 all:4.033698
1461 all:1.007523
1462 all:1.006075
1463 all:0.999039
1464 all:1.008635
1465 all:4.017467
1466 all:4.03388
1467 all:1.008852
1468 all:1.008532
1469 all:1.013861
1470 all:1.00367
1471 all:0.949402
1472 all:1.005066
1473 all:1.007214
1474 all:0.251931
1475 all:0.252811
1476 all:0.252202
1477 all:0.251954
1478 all:0.250196
