  inode  jnode                  timau               result
    680  14791                   1.53                  1.53 
    681  15188                   1.53                  1.53 
    682  15846                   1.83                  1.83 
    683  16136                   1.77                  1.77 
    684  16232                    2.4                   2.4 
    685  16457                   2.67                  2.67 
    686  15001                   1.38                  1.38 
    687  15413                    1.8                   1.8 
    688  15420                   2.28                  2.28 
    689  15431                   1.17                  1.17 
    690  18230                   1.83                  1.83 
    691  16098                    .75                   .75 
    692  16236                   1.17                  1.17 
    693  17044                    .87                   .87 
    694  16090                   1.35                  1.35 
    695  16237                    .75                   .75 
    696  16463                   1.95                  1.95 
    697  16503                   1.05                  1.05 
    698  16475                   1.65                  1.65 
    699  16456                     .9                    .9 
    700  16505                   1.56                  1.56 
    701  16528                    .99                   .99 
    702  16561                    .78                   .78 
    703  16587                     .6                    .6 
    704   9558                    .69                   .69 
    705  16567                   1.02                  1.02 
    706  17106                    .99                   .99 
    707  16535                   1.74                  1.74 
    708  16591                    2.4                   2.4 
    709  16462                   3.24                  3.24 
    710  16538                   1.14                  1.14 
    711  16465                    2.4                   2.4 
    712  16544                   1.59                  1.59 
    713  18233                    .72                   .72 
    714  16524                   1.02                  1.02 
    715  16510                   1.62                  1.62 
    716  16526                    .99                   .99 
    717  16543                   1.14                  1.14 
    718   7987                   2.94                  2.94 
    719   8390                   2.97                  2.97 
    720   8705                   2.61                  2.61 
    721   7937                    2.7                   2.7 
    722   8378                   3.03                  3.03 
    723   8841                   2.97                  2.97 
    724   7992                   2.28                  2.28 
    725   8361                   2.49                  2.49 
    726   8660                   3.12                  3.12 
    727   7916                   3.27                  3.27 
    728   8003                    2.4                   2.4 
    729   8583                    .75                   .75 
    730   7818                   1.59                  1.59 
    731   7731                   2.58                  2.58 
    732  19864                   1.26                  1.26 
    733   7915                   1.89                  1.89 
    734   8152                   2.76                  2.76 
    735   8513                   2.91                  2.91 
    736   7840                   2.82                  2.82 
    737   8136                   3.69                  3.69 
